q,p,lo,hi,coverage,n_local,method,cond_number
861,1,0.0413053321773178,0.962463145321163,0.921296996655823,1000,interval_capped,2109407.7027722886
862,0,0.079983524693926,0.728080160231867,0.6484476721496499,1000,interval_capped,2226006.45983818
862,1,0.157946797688901,0.344893377393628,0.18697482663608264,923,interval,1760117.2947307008
863,0,0.83022579856055,0.892139636515937,0.061947373114654876,290,interval,1246209.622971459
863,1,0.515233477664786,0.745426060869934,0.23022736444643435,1000,interval_capped,2065823.803457745
864,0,0.339466617516893,0.770992555703406,0.4317596709277419,1000,interval_capped,1409394.932897311
864,1,0.549208898971422,0.610421063135302,0.06122141309371863,299,interval,1040564.9410086003
865,0,0.509870952535414,0.814375432571624,0.30466941257105246,1000,interval_capped,2086011.0295044254
865,1,0.216861814605989,0.486261763135136,0.26944065385718957,1000,interval_capped,1807003.1184005272
866,0,0.811975415706697,0.963296944276539,0.15140349072448847,755,interval,1323233.1119018896
866,1,0.590628082956474,0.94586756293618,0.3552931553409865,1000,interval_capped,1167103.283914318
867,0,0.293025026451129,0.409241260683239,0.11627918187117092,613,interval,2453534.052002433
867,1,0.171006134132909,0.226406813740348,0.055409050443623306,261,interval,1592583.0693692968
868,0,0.216355350897268,0.566530209933445,0.35036452858432976,1000,interval_capped,1854699.6874676554
868,1,0.15380596521155,0.186029557304335,0.03222846095743777,169,interval,1289587.5486784915
869,0,0.121659303442658,0.162473279157853,0.040836082294615134,221,interval,2199597.252205912
869,1,0.611301803385781,0.769675715182985,0.1583978415049426,814,interval,1506674.2152190842
870,0,0.359787347795469,0.545197094683226,0.18551017266650102,956,interval,1353409.2964086528
870,1,0.516264077171104,0.824784084155783,0.30856662320773526,1000,interval_capped,2292813.7505664052
871,0,0.0728282483980097,0.387500550773449,0.3148427422338917,1000,interval_capped,2647957.296899055
871,1,0.43551597540161,0.517484279607567,0.08198068931118814,398,interval,2454468.0438196342
872,0,0.653168396968413,0.720965563733902,0.06783388858504459,337,interval,1977414.6208765227
872,1,0.378710159323759,0.654263468919981,0.27559494467418527,1000,interval_capped,2198008.8945378056
873,0,0.558167450409622,0.636817057495065,0.07869220704672902,426,interval,1474713.7578576931
873,1,0.541520750504497,0.69749305650533,0.15599587283488764,794,interval,1416311.0376855684
874,0,0.465382784015332,0.621283579051163,0.15598523751531823,819,interval,2452892.643888247
874,1,0.696286695223657,0.702751719201288,0.006466000818655771,38,interval,1547466.714298238
875,0,0.0998131454582071,0.435553831158112,0.3359225370878899,1000,interval_capped,1713554.6413009963
875,1,0.41553928936794,0.756208100831694,0.34072028525133335,1000,interval_capped,1799695.7860134467
876,0,0.165913069492548,0.432014496001526,0.2662455583220604,1000,interval_capped,1759791.9448240572
876,1,0.324638311358906,0.539373338516672,0.2147674728199512,1000,interval_capped,1091666.78473329
877,0,0.477547934885458,0.485773077414892,0.008229597615305522,42,interval,1512962.2427591037
877,1,0.05901456339116,0.155290772059629,0.0962907556447321,484,interval,1800439.8721448544
878,0,0.049026315249007,0.342449922057356,0.29358253747251445,1000,interval_capped,1084106.1667367346
878,1,0.177638791958177,0.376171399238241,0.19856260481699967,991,interval,1537097.1899864539
879,0,0.638447073138082,0.853795306420982,0.21546487501501824,1000,interval_capped,1951947.3124425511
879,1,0.555637518578493,0.611309971941732,0.055680865263424785,273,interval,1443061.7723729485
880,0,0.125862807069663,0.22828357097044,0.10247623932829336,482,interval,1127882.206935861
880,1,0.0283687423568175,0.340356481272895,0.3120348791005027,1000,interval_capped,2389341.1136407894
881,0,0.184678578986105,0.920215086498027,0.7359349052650148,1000,interval_capped,1407079.5740849457
881,1,0.636000102326483,0.821738780672923,0.18576674276840288,950,interval,1044852.1745881502
882,0,0.209632398134772,0.230671497910545,0.021050495444094236,91,interval,1338170.3099275324
882,1,0.289967046267194,0.968908798675131,0.6790443379759908,1000,interval_capped,2053251.5296554556
883,0,0.163624425276295,0.24208005085942,0.07849812047580616,361,interval,1646798.3622530277
883,1,0.729435480048427,0.838482664402521,0.10906366097717979,560,interval,1406617.9011685282
884,0,0.104399962098031,0.145113516103657,0.04073560619239118,197,interval,1470737.4903036163
