,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
246,fno_swim,512,32,2,32,1e-08,0.006158623689180664,0.006856170514705864,0.0067922939922060955,59.28772346209735,496112032
247,fno_swim,256,16,4,32,1e-06,0.013797421207326273,0.014364233490813286,0.014347994236758602,34.95968638267368,688638159
248,fno_swim,256,16,1,8,1e-10,0.012241474027619399,0.012883283804647047,0.012771520277065242,6.83919910993427,164143668
249,fno_swim,512,32,2,32,1e-10,0.006215645200464191,0.006865171980195213,0.006749598394231178,54.62597753945738,215017087
250,fno_swim,2048,16,2,8,1e-08,0.0009120824485851551,0.0015768435488417339,0.0015675885046936883,116.23451702482998,616795910
251,fno_swim,1024,32,1,16,1e-08,0.0025653304985843372,0.003210211993221973,0.0031990015556366473,44.59596714284271,947843869
252,fno_swim,256,16,1,16,1e-06,0.014723544912569404,0.015336477243235893,0.01515885383067795,7.239232880063355,533165399
253,fno_swim,2048,16,1,8,1e-08,0.0009289410786495688,0.0016141924050923618,0.0016180876871064085,57.771866825409234,636421876
254,fno_swim,2048,32,2,16,1e-06,0.0017369975564021848,0.002506293620395334,0.002495498345523016,237.47164335660636,780864030
255,fno_swim,1024,32,2,16,1e-08,0.00249696796329195,0.0031393225766151514,0.0031388215670039893,96.08190695662051,728324945
256,fno_swim,2048,16,1,16,1e-06,0.0016830340196291888,0.002365664516727901,0.0023561310204795152,137.21384977642447,296303218
257,fno_swim,256,16,1,16,1e-06,0.013086599225616417,0.013678882552374169,0.013571493113092553,7.3728749277070165,201449102
258,fno_swim,512,32,2,32,1e-08,0.006127454832250701,0.0068157871870486225,0.006746343917324684,55.546980942599475,671584534
259,fno_swim,1024,32,1,8,1e-08,0.00248427340119957,0.003136288762544581,0.0031076107730924024,41.233991519548,559628759
260,fno_swim,1024,32,2,16,1e-06,0.002951869086542471,0.003595242433036713,0.0035966772725351034,95.1039023026824,405107223
261,fno_swim,256,16,4,16,1e-10,0.013225534668114138,0.013850890089544819,0.013850799154720197,32.32032401114702,917692911
262,fno_swim,1024,32,4,8,1e-08,0.002584898710773149,0.003268034715453602,0.003284945732039927,190.6926692351699,103630170
263,fno_swim,1024,16,2,16,1e-06,0.0029033565142665974,0.0036016879846832244,0.0035625209631851692,45.8862309679389,386281794
264,fno_swim,2048,16,1,8,1e-10,0.0008355610392863902,0.001438268046519498,0.0014400873742973321,59.523029908537865,550549973
265,fno_swim,2048,16,4,32,1e-06,0.0019390098172317126,0.0030324445014338953,0.0029908159168749756,241.40632605273277,51700030
266,fno_swim,512,16,4,16,1e-08,0.00611537667951589,0.006913394872995294,0.006752586604794627,50.87308671977371,47306406
267,fno_swim,2048,32,2,16,1e-10,0.0008280119418193814,0.0014186991778247604,0.0014223403291797414,223.7419381448999,137758468
268,fno_swim,1024,16,2,32,1e-10,0.002565293409103919,0.0033217991864483718,0.0032975122066363927,53.34958557039499,865894755
269,fno_swim,2048,16,2,32,1e-06,0.0018031028086737612,0.002743921666659657,0.0027177260853265064,122.21428668126464,379239196
270,fno_swim,512,16,4,8,1e-08,0.006195883988609871,0.007132644997319415,0.007015010151674554,51.09662310965359,906487661
271,fno_swim,256,32,4,8,1e-08,0.013085431302303252,0.013710571881833472,0.013656193849665913,62.64433125220239,458560352
272,fno_swim,1024,16,4,16,1e-08,0.0025732076806982435,0.003395468416771429,0.003402064934303566,106.77489138673991,352963383
273,fno_swim,512,16,4,16,1e-06,0.005685372881674005,0.006452469244026586,0.006400151075686075,53.7483219569549,234978428
274,fno_swim,512,32,4,8,1e-08,0.005975516273298,0.0066540720140286416,0.006612263584445275,98.86311589553952,683785103
275,fno_swim,1024,32,4,8,1e-10,0.0025210196791270916,0.0031976708218087067,0.0031471823315508763,190.99712648056448,849223178
276,fno_swim,256,32,1,16,1e-06,0.013175197665443873,0.013710067284000841,0.013512546909416641,13.68695523776114,577656868
277,fno_swim,256,32,1,32,1e-10,0.01371350812548166,0.014222171733564238,0.01408239573014851,16.151052813977003,720715342
278,fno_swim,512,16,1,16,1e-06,0.006004408437078238,0.006648313386913745,0.006584106565423821,12.113783931359649,574667090
