,architecture,input_dim,layer_width,n_layers,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
157,fcn,256,512,1,64,1e-05,2000,100,1,0.0,0.01338632979905177,0.013530312990482275,0.01338533523016599,797.1671838872135,191606657
158,fcn,256,256,4,64,1e-05,2000,100,1,0.0,0.008700834753667367,0.00888180141361101,0.008829986874240485,1091.1364187616855,550218764
159,fcn,256,1024,2,64,1e-05,2000,100,1,0.0,0.005214608793220779,0.005361126222377205,0.00532203735018459,968.8392294421792,644153364
160,fcn,256,512,4,64,1e-05,2000,100,1,0.0,0.005107326909943759,0.005277152428036085,0.005215948163776916,1098.871035383083,369407205
161,fcn,256,4098,4,64,1e-05,2000,100,1,0.0,0.005003427685024609,0.0051467580104068884,0.0051464146797542965,6550.019835367799,509889927
162,fcn,256,256,1,64,1e-05,2000,100,1,0.0,0.01815999903303628,0.018290546103481388,0.018225299587367832,798.0907784951851,989970763
163,fcn,256,4098,1,64,0.0001,2000,100,1,0.0,0.013172191953085824,0.013357158225318069,0.01319407306556416,229.4359176242724,270403974
164,fcn,256,512,4,64,0.0001,2000,100,1,0.0,0.006140084933859972,0.00633548024703204,0.006231175645947222,412.1996826035902,283686881
165,fcn,256,512,1,64,0.0001,2000,100,1,0.0,0.010754549853076249,0.010939427285616475,0.010857358938335136,394.5343456817791,199245548
166,fcn,256,256,2,64,0.0005,2000,100,1,0.0,0.007010318948591477,0.007190971015265757,0.007113207581440914,428.79446783754975,709923483
167,fcn,256,512,2,64,0.0005,2000,100,1,0.0,0.008202661957751335,0.008455349482840664,0.008365961647756458,210.9657856049016,725789791
168,fcn,256,4098,2,64,5e-05,2000,100,1,0.0,0.006641726703541957,0.006726516859995545,0.00668197322531868,1450.4787488393486,198545388
169,fcn,256,256,2,64,0.0005,2000,100,1,0.0,0.007860036923717634,0.007970740506774434,0.007894375326822642,345.4022338874638,445750946
170,fcn,256,4098,1,64,5e-05,2000,100,1,0.0,0.011150681982697969,0.01133138789854085,0.011230706730429552,429.74371068086475,731437209
171,fcn,256,4098,2,64,0.0005,2000,100,1,0.0,0.02899776305329722,0.029325362069438112,0.028881246945247047,441.9913090346381,55587998
172,fcn,256,256,4,64,0.0001,2000,100,1,0.0,0.0070567306787222605,0.00724087502757326,0.007141709068063669,463.45580917876214,365952277
173,fcn,256,512,4,64,0.0001,2000,100,1,0.0,0.008088908132685774,0.008249313647802941,0.008126789119628929,272.4065598677844,102004292
174,fcn,256,1024,1,64,0.0005,2000,100,1,0.0,0.012211039273669668,0.01235690664667553,0.012268152305860815,194.8814296759665,462822182
175,fcn,256,1024,4,64,5e-05,2000,100,1,0.0,0.005510329034464166,0.0056692830617030045,0.005619034412324154,536.0269100079313,310799275
176,fcn,256,2048,2,64,5e-05,2000,100,1,0.0,0.004882144263938021,0.004997356923167285,0.004929321157008065,907.5206733513623,563432458
177,fcn,256,1024,2,64,0.0005,2000,100,1,0.0,0.008327703939761661,0.008440257685143898,0.008404654309812723,263.8128186715767,375959424
178,fcn,256,256,4,64,0.0005,2000,100,1,0.0,0.00846180575863507,0.008733832654368343,0.008665583380665733,363.14188543427736,189344928
179,fcn,256,2048,2,64,0.0001,2000,100,1,0.0,0.004610200899331619,0.004707438885571906,0.004691770481514289,796.020584134385,965582446
