,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
148,4098,8,5e-05,2,n/a,0.021237454066673916,0.021176670367519062,0.020850483948985737,1899.1153610007216,deeponet,adam
149,4098,8,5e-05,4,n/a,0.02122303657233715,0.021189418931802113,0.02085988720258077,4379.100355568652,deeponet,adam
150,4098,8,0.0001,1,n/a,0.021886499598622322,0.021838286891579628,0.021519592652718227,429.804173230504,deeponet,adam
151,4098,8,0.0001,2,n/a,0.021072131892045338,0.021022581805785496,0.020696377381682396,1735.9876083191484,deeponet,adam
152,4098,8,0.0001,4,n/a,0.021887991577386856,0.021902078141768772,0.021575636540850002,2756.9789531122274,deeponet,adam
153,4098,8,0.0005,1,n/a,0.022268017133076985,0.022220217312375706,0.021914997448523838,259.84005025556934,deeponet,adam
154,4098,8,0.0005,2,n/a,0.022473396733403206,0.022493266810973484,0.02217686300476392,622.7457948802039,deeponet,adam
155,4098,8,0.0005,4,n/a,0.0351166861752669,0.03820186791320642,0.037814953053991,1512.6576918605715,deeponet,adam
156,4098,16,1e-05,1,n/a,0.005358450425167878,0.0056293631593386335,0.005583633823941152,777.5774674812952,deeponet,adam
157,4098,16,1e-05,2,n/a,0.0020593543692181506,0.0022652759216725826,0.002248646846661965,5753.979266172275,deeponet,adam
158,4098,16,1e-05,4,n/a,0.003186755425607165,0.003457399317994714,0.0034253234043717384,6993.036615816876,deeponet,adam
159,4098,16,5e-05,1,n/a,0.005449401369939248,0.0057036847186585264,0.0056617956918974715,845.5649291146547,deeponet,adam
160,4098,16,5e-05,2,n/a,0.003934116878857215,0.004172381944954395,0.004133590497076511,1962.6501457650836,deeponet,adam
161,4098,16,5e-05,4,n/a,0.0034393391106277704,0.00385554499613742,0.003815536775315801,4867.0060737074045,deeponet,adam
162,4098,16,0.0001,1,n/a,0.0057081845588982105,0.005947603223224481,0.005915964798380931,778.9259546625739,deeponet,adam
163,4098,16,0.0001,2,n/a,0.004515146060536305,0.0047651478089392185,0.004747241735458374,1580.689521799485,deeponet,adam
164,4098,16,0.0001,4,n/a,0.005426802051564057,0.005850333875666062,0.005829185402641694,2618.369643628908,deeponet,adam
165,4098,16,0.0005,1,n/a,0.006220226486523946,0.006483187122891347,0.006481010311593612,410.75870197856176,deeponet,adam
166,4098,16,0.0005,2,n/a,0.007641257718205452,0.0079551807915171,0.007914377842098475,624.279072256138,deeponet,adam
167,4098,16,0.0005,4,n/a,0.013241539088388285,0.01352423895150423,0.013492008360723654,1092.4485965417698,deeponet,adam
168,4098,32,1e-05,1,n/a,0.005050406946490209,0.005348771034429471,0.005314065919568141,989.2012001480907,deeponet,adam
169,4098,32,1e-05,2,n/a,0.0015985274609799187,0.0017762960633262992,0.0017683731857687235,5910.774304875483,deeponet,adam
170,4098,32,1e-05,4,n/a,0.0016438730138664444,0.001913993270136416,0.0018922047844777505,10504.04348049344,deeponet,adam
171,4098,32,5e-05,1,n/a,0.004849991916368405,0.005108166641245286,0.005073961180945237,742.712730002279,deeponet,adam
172,4098,32,5e-05,2,n/a,0.0025611300176630416,0.0027641054863731065,0.002745577289412419,2571.275704197896,deeponet,adam
173,4098,32,5e-05,4,n/a,0.0033003912152101598,0.0036387323246647916,0.003612033169095715,4186.226449347722,deeponet,adam
174,4098,32,0.0001,1,n/a,0.004697108486046393,0.004939818910012643,0.004927579313516617,796.2105965716764,deeponet,adam
175,4098,32,0.0001,2,n/a,0.003839166834950447,0.004051540823032458,0.004013745657478769,1753.2953409158315,deeponet,adam
176,4098,32,0.0001,4,n/a,0.004230297015359004,0.0046331801762183504,0.004603468580171466,2975.3498855192834,deeponet,adam
177,4098,32,0.0005,1,n/a,0.0063097647701700526,0.006577191408723593,0.006551072622338931,275.60366842119646,deeponet,adam
178,4098,32,0.0005,2,n/a,0.008095796840886274,0.008371720866610607,0.008265707331399122,609.4967394778505,deeponet,adam
179,4098,32,0.0005,4,n/a,0.013644535094499588,0.013885860020915667,0.013807959544161955,1050.4536180620391,deeponet,adam
